Regionname,Total_Schools_per_Region
Eastern Metropolitan,202
Eastern Victoria,95
Northern Metropolitan,239
Northern Victoria,36
South-Eastern Metropolitan,185
Southern Metropolitan,191
Western Metropolitan,229
Western Victoria,21
