Address_Town,Education_Sector,School_Type,LGA_Name,X,Y
Bairnsdale,Government,Primary,East Gippsland (S),147.62323,-37.82742
Gordon,Government,Primary,Moorabool (S),144.10505,-37.58385
Hepburn,Government,Primary,Hepburn (S),144.13276,-37.30972
Lara Lake,Government,Primary,Greater Geelong (C),144.39564,-38.0304
Rosedale,Government,Primary,Wellington (S),146.7739,-38.1546
Bright,Government,Pri/Sec,Alpine (S),146.96093,-36.7331
Rochester,Government,Primary,Campaspe (S),144.698,-36.3546
Ararat,Government,Primary,Ararat (RC),142.93731,-37.28594
Jamieson,Government,Primary,Mansfield (S),146.14,-37.30126
Preston,Government,Primary,Darebin (C),145.00745,-37.74787
Omeo,Government,Primary,East Gippsland (S),147.59308,-37.10022
Harrietville,Government,Primary,Alpine (S),147.06494,-36.88771
Mordialloc,Government,Primary,Kingston (C),145.08881,-38.00558
Healesville,Government,Primary,Yarra Ranges (S),145.51604,-37.65713
Lake Bolac,Government,Pri/Sec,Ararat (RC),142.8379,-37.72024
Toongabbie,Government,Primary,Latrobe (C),146.62518,-38.05697
Waubra,Government,Primary,Pyrenees (S),143.63446,-37.35384
Great Western,Government,Primary,Northern Grampians (S),142.85173,-37.14851
Maffra,Government,Primary,Wellington (S),146.97677,-37.964
Broken Creek,Government,Primary,Benalla (RC),145.88923,-36.42328
Lal Lal,Government,Primary,Moorabool (S),144.01071,-37.67672
Cobden,Government,Primary,Corangamite (S),143.07812,-38.32712
St Leonards,Government,Primary,Greater Geelong (C),144.71475,-38.17184
Lilydale,Government,Primary,Yarra Ranges (S),145.35407,-37.75367
Bendigo,Government,Primary,Greater Bendigo (C),144.26524,-36.75702
Darraweit Guim,Government,Primary,Macedon Ranges (S),144.89357,-37.40103
Linton,Government,Primary,Golden Plains (S),143.56131,-37.68407
Invermay,Government,Primary,Ballarat (C),143.87458,-37.52053
Mitta Mitta,Government,Primary,Towong (S),147.37948,-36.53341
Camberwell,Government,Primary,Boroondara (C),145.05805,-37.83268
Greenvale,Government,Primary,Hume (C),144.88618,-37.63983
Alexandra,Government,Primary,Murrindindi (S),145.7117,-37.19257
Rockbank,Government,Primary,Melton (C),144.6619,-37.73215
Bannockburn,Government,Pri/Sec,Golden Plains (S),144.16067,-38.042
Doreen,Government,Primary,Nillumbik (S),145.14554,-37.60601
Talbot,Government,Primary,Central Goldfields (S),143.7036,-37.16865
Yarra Glen,Government,Primary,Yarra Ranges (S),145.37241,-37.6497
Kangaroo Flat,Government,Primary,Greater Bendigo (C),144.23409,-36.78768
Westmeadows,Government,Primary,Hume (C),144.8957,-37.67565
Sunbury,Government,Primary,Hume (C),144.72814,-37.59769
Diamond Creek,Government,Primary,Nillumbik (S),145.15165,-37.67185
Hesket,Government,Primary,Macedon Ranges (S),144.61978,-37.34781
Axedale,Government,Primary,Greater Bendigo (C),144.50146,-36.78623
Vermont,Government,Primary,Whitehorse (C),145.1943,-37.83736
Tarnagulla,Government,Primary,Loddon (S),143.8284,-36.77126
Balwyn,Government,Primary,Boroondara (C),145.08138,-37.81394
Scoresby,Government,Primary,Knox (C),145.2275,-37.89395
Carisbrook,Government,Primary,Central Goldfields (S),143.81266,-37.05206
