Address_Town,Education_Sector,School_Type,LGA_Name,X,Y
Malvern East,Government,Primary,Stonnington (C),145.03846,-37.87159
Launching Place,Government,Primary,Yarra Ranges (S),145.57077,-37.7825
Carlton,Government,Primary,Melbourne (C),144.96951,-37.80205
Ascot Vale,Government,Primary,Moonee Valley (C),144.92612,-37.77432
Boolarra,Government,Primary,Latrobe (C),146.26887,-38.38287
Rosebud,Government,Primary,Mornington Peninsula (S),144.909,-38.35576
Koo Wee Rup,Government,Primary,Cardinia (S),145.49286,-38.19483
Armadale,Government,Primary,Stonnington (C),145.01777,-37.85219
Mount Martha,Government,Primary,Mornington Peninsula (S),145.04091,-38.25711
Somerville,Government,Primary,Mornington Peninsula (S),145.17914,-38.22402
Willaura,Government,Primary,Ararat (RC),142.73946,-37.54469
Echuca,Government,Primary,Campaspe (S),144.76111,-36.13405
Lakes Entrance,Government,Primary,East Gippsland (S),147.99424,-37.87598
Myrrhee,Government,Primary,Wangaratta (RC),146.31825,-36.73819
Longwood,Government,Primary,Strathbogie (S),145.42206,-36.80793
Forrest,Government,Primary,Colac-Otway (S),143.71442,-38.51629
Fairfield,Government,Primary,Darebin (C),145.0204,-37.77799
Nilma,Government,Primary,Baw Baw (S),145.97429,-38.16574
Garfield,Government,Primary,Cardinia (S),145.67415,-38.09056
Yinnar South,Government,Primary,Latrobe (C),146.36481,-38.36891
Officer,Government,Primary,Cardinia (S),145.41018,-38.05828
Brunswick East,Government,Primary,Merri-bek (C),144.97254,-37.7787
Orbost,Government,Primary,East Gippsland (S),148.45772,-37.70791
Inverloch,Government,Primary,Bass Coast (S),145.72862,-38.6312
Surrey Hills,Government,Primary,Whitehorse (C),145.1009,-37.82553
South Melbourne,Government,Special,Port Phillip (C),144.94974,-37.8306
Strathmerton,Government,Primary,Moira (S),145.47884,-35.92402
Laharum,Government,Primary,Horsham (RC),142.32331,-36.94535
Walwa,Government,Primary,Towong (S),147.73215,-35.96423
Middle Park,Government,Primary,Port Phillip (C),144.95751,-37.8478
Seville,Government,Primary,Yarra Ranges (S),145.46441,-37.77389
Yarraville,Government,Primary,Maribyrnong (C),144.88539,-37.81475
Coburg,Government,Primary,Merri-bek (C),144.96648,-37.75505
Tanjil South,Government,Primary,Baw Baw (S),146.2524,-38.11887
Pomonal,Government,Primary,Ararat (RC),142.60873,-37.19344
Brighton,Government,Primary,Bayside (C),144.99729,-37.89142
Glengarry,Government,Primary,Latrobe (C),146.57134,-38.12758
Carnegie,Government,Primary,Glen Eira (C),145.0545,-37.89074
Lang Lang,Government,Primary,Cardinia (S),145.5694,-38.26317
Croydon,Government,Primary,Maroondah (C),145.28132,-37.79317
Moonee Ponds,Government,Primary,Moonee Valley (C),144.90933,-37.76895
Mitcham,Government,Primary,Whitehorse (C),145.19272,-37.80899
Loch,Government,Primary,South Gippsland (S),145.70295,-38.36862
Mildura,Government,Primary,Mildura (RC),142.16049,-34.19429
Blackburn,Government,Primary,Whitehorse (C),145.1567,-37.81657
Newmerella,Government,Primary,East Gippsland (S),148.434,-37.73547
Port Melbourne,Government,Primary,Port Phillip (C),144.93381,-37.83532
Hawthorn East,Government,Primary,Boroondara (C),145.05048,-37.82028
Mentone,Government,Primary,Kingston (C),145.06797,-37.98295
Carlton North,Government,Primary,Yarra (C),144.9681,-37.7804
Research,Government,Primary,Nillumbik (S),145.18357,-37.70292
Pearcedale,Government,Primary,Casey (C),145.23198,-38.20301
Lindenow South,Government,Primary,East Gippsland (S),147.4339,-37.82694
Thorpdale,Government,Primary,Baw Baw (S),146.17879,-38.28846
St Albans,Government,Primary,Brimbank (C),144.79577,-37.73875
Leongatha,Government,Primary,South Gippsland (S),145.95898,-38.47893
Jeparit,Government,Primary,Hindmarsh (S),141.98405,-36.14134
Toorak,Government,Primary,Stonnington (C),145.00991,-37.84508
Baxter,Government,Primary,Mornington Peninsula (S),145.18155,-38.19966
Fish Creek,Government,Primary,South Gippsland (S),146.08442,-38.69475
Beaconsfield,Government,Primary,Cardinia (S),145.37164,-38.04863
Metung,Government,Primary,East Gippsland (S),147.85246,-37.88296
Newhaven,Government,Primary,Bass Coast (S),145.35686,-38.51315
Halls Gap,Government,Primary,Northern Grampians (S),142.51743,-37.13748
Tallygaroopna,Government,Primary,Greater Shepparton (C),145.43632,-36.23861
Ormond,Government,Primary,Glen Eira (C),145.03367,-37.907
Korumburra,Government,Primary,South Gippsland (S),145.82564,-38.43513
Crib Point,Government,Primary,Mornington Peninsula (S),145.20054,-38.36048
Pascoe Vale,Government,Primary,Merri-bek (C),144.93726,-37.73122
Flowerdale,Government,Primary,Murrindindi (S),145.29136,-37.31692
Ocean Grove,Government,Primary,Greater Geelong (C),144.52185,-38.26399
Beulah,Government,Primary,Yarriambiack (S),142.41826,-35.94494
Fitzroy North,Government,Primary,Yarra (C),144.98739,-37.77697
Sunshine,Government,Primary,Brimbank (C),144.83101,-37.79079
Tyabb,Government,Primary,Mornington Peninsula (S),145.16664,-38.26071
Thornbury,Government,Primary,Darebin (C),145.00883,-37.76151
Sandy Creek,Government,Primary,Indigo (S),147.1129,-36.35518
Clifton Hill,Government,Primary,Yarra (C),145.00388,-37.78679
Kew East,Government,Primary,Boroondara (C),145.04915,-37.79647
Nichols Point,Government,Primary,Mildura (RC),142.20464,-34.2088
Irymple,Government,Primary,Mildura (RC),142.15908,-34.2266
Brunswick East,Government,Primary,Merri-bek (C),144.98,-37.76527
Eagle Point,Government,Primary,East Gippsland (S),147.68022,-37.89245
Yarra Junction,Government,Primary,Yarra Ranges (S),145.60608,-37.77903
Sassafras,Government,Primary,Yarra Ranges (S),145.35455,-37.86162
Ferny Creek,Government,Primary,Yarra Ranges (S),145.33473,-37.88421
Toolangi,Government,Primary,Murrindindi (S),145.4725,-37.53537
Wonga Park,Government,Primary,Manningham (C),145.274,-37.73064
Kinglake West,Government,Primary,Murrindindi (S),145.2596,-37.4813
French Island,Government,Primary,Unincorporated Vic,145.33341,-38.38338
Monbulk,Government,Primary,Yarra Ranges (S),145.41026,-37.87685
Lake Boga,Government,Primary,Swan Hill (RC),143.63207,-35.46451
Chum Creek,Government,Primary,Yarra Ranges (S),145.48925,-37.60596
Mount Dandenong,Government,Primary,Yarra Ranges (S),145.36217,-37.83074
Healesville,Government,Primary,Yarra Ranges (S),145.53324,-37.68134
Kinglake Central,Government,Primary,Murrindindi (S),145.31568,-37.50521
Point Lonsdale,Government,Primary,Queenscliffe (B),144.62113,-38.27443
Kongwak,Government,Primary,South Gippsland (S),145.71286,-38.51511
Clarinda,Government,Primary,Kingston (C),145.10292,-37.927
Chelsea Heights,Government,Primary,Kingston (C),145.13806,-38.04502
Wallington,Government,Primary,Greater Geelong (C),144.50685,-38.21788
Tecoma,Government,Primary,Yarra Ranges (S),145.34492,-37.90696
Torquay,Government,Primary,Surf Coast (S),144.31231,-38.32177
Emerald,Government,Primary,Cardinia (S),145.44243,-37.93338
Carrum,Government,Primary,Kingston (C),145.1267,-38.07812
Nyora,Government,Primary,South Gippsland (S),145.67489,-38.33624
Exford,Government,Primary,Melton (C),144.55879,-37.74529
Ultima,Government,Primary,Swan Hill (RC),143.26617,-35.47623
Mount Waverley,Government,Primary,Monash (C),145.12411,-37.88127
Marlo,Government,Primary,East Gippsland (S),148.53504,-37.79627
Murrumbeena,Government,Primary,Glen Eira (C),145.07041,-37.88617
Wesburn,Government,Primary,Yarra Ranges (S),145.64707,-37.76869
Koorlong,Government,Primary,Mildura (RC),142.08485,-34.27806
Warranwood,Government,Primary,Maroondah (C),145.24698,-37.77435
Willowmavin,Government,Primary,Mitchell (S),144.88823,-37.25942
Olinda,Government,Primary,Yarra Ranges (S),145.36619,-37.8547
Carlisle River,Government,Primary,Colac-Otway (S),143.39503,-38.56393
Bendigo,Government,Primary,Greater Bendigo (C),144.28446,-36.79318
Mallacoota,Government,Pri/Sec,East Gippsland (S),149.7543,-37.55943
Langwarrin,Government,Primary,Frankston (C),145.18985,-38.16039
Cockatoo,Government,Primary,Cardinia (S),145.49638,-37.93937
Tyabb,Government,Primary,Mornington Peninsula (S),145.1925,-38.26195
Belgrave South,Government,Primary,Yarra Ranges (S),145.35792,-37.9312
Preston,Government,Special,Darebin (C),145.01817,-37.73791
Sydenham,Government,Primary,Brimbank (C),144.76233,-37.70205
Canterbury,Government,Primary,Boroondara (C),145.08314,-37.83096
Cabarita,Government,Primary,Mildura (RC),142.09314,-34.20592
Traralgon,Government,Primary,Latrobe (C),146.53712,-38.19305
Brunswick West,Government,Primary,Merri-bek (C),144.95043,-37.75984
Fawkner,Government,Primary,Merri-bek (C),144.97476,-37.71524
Alphington,Government,Primary,Yarra (C),145.03201,-37.78352
Heidelberg,Government,Special,Banyule (C),145.05829,-37.75544
Bona Vista,Government,Primary,Baw Baw (S),145.95991,-38.21052
Carrum Downs,Government,Primary,Frankston (C),145.18791,-38.0946
Bundoora,Government,Primary,Whittlesea (C),145.04263,-37.69451
Macclesfield,Government,Primary,Yarra Ranges (S),145.47537,-37.88979
Black Rock,Government,Primary,Bayside (C),145.02165,-37.96987
Mount Evelyn,Government,Primary,Yarra Ranges (S),145.38882,-37.79093
Kilsyth,Government,Primary,Yarra Ranges (S),145.31494,-37.80211
Wonthaggi,Government,Primary,Bass Coast (S),145.58864,-38.60795
Spotswood,Government,Primary,Hobsons Bay (C),144.88174,-37.83045
Clyde,Government,Primary,Casey (C),145.32639,-38.13232
Noble Park,Government,Primary,Greater Dandenong (C),145.17391,-37.97063
Deepdene,Government,Primary,Boroondara (C),145.06136,-37.80837
Clifton Creek,Government,Primary,East Gippsland (S),147.65939,-37.70208
Kennington,Government,Primary,Greater Bendigo (C),144.3075,-36.7688
Cardinia,Government,Primary,Cardinia (S),145.42377,-38.1458
Grahamvale,Government,Primary,Greater Shepparton (C),145.43072,-36.3572
Irymple,Government,Primary,Mildura (RC),142.19062,-34.25249
Glen Huntly,Government,Primary,Glen Eira (C),145.04623,-37.89377
Nanneella,Government,Primary,Campaspe (S),144.77804,-36.31297
Wantirna,Government,Primary,Knox (C),145.21651,-37.85626
Wonthaggi,Government,Primary,Bass Coast (S),145.60023,-38.59882
Melton South,Government,Primary,Melton (C),144.57426,-37.70872
Chelsea,Government,Primary,Kingston (C),145.12231,-38.05489
Hampton,Government,Primary,Bayside (C),145.00348,-37.93339
Melbourne,Government,Special,Melbourne (C),144.98231,-37.84977
Balliang East,Government,Primary,Moorabool (S),144.41535,-37.79498
Edithvale,Government,Primary,Kingston (C),145.11297,-38.03749
Orrvale,Government,Primary,Greater Shepparton (C),145.44054,-36.41041
Thornbury,Government,Primary,Darebin (C),145.01427,-37.75452
Underbool,Government,Primary,Mildura (RC),141.81405,-35.17057
Caulfield North,Government,Primary,Glen Eira (C),145.02156,-37.87211
Seaford,Government,Primary,Frankston (C),145.1305,-38.10444
Burwood,Government,Primary,Whitehorse (C),145.09737,-37.84264
Murrabit,Government,Primary,Gannawarra (S),143.95075,-35.52884
Preston,Government,Primary,Darebin (C),144.99553,-37.73737
Thornbury,Government,Primary,Darebin (C),144.99675,-37.75543
West Footscray,Government,Primary,Maribyrnong (C),144.87527,-37.79487
Wandin North,Government,Primary,Yarra Ranges (S),145.40971,-37.76978
Brighton East,Government,Primary,Bayside (C),145.01503,-37.90468
Beaumaris,Government,Primary,Bayside (C),145.03759,-37.98527
Dookie Campus,Government,Primary,Greater Shepparton (C),145.70379,-36.38475
Cann River,Government,Pri/Sec,East Gippsland (S),149.15302,-37.5697
Altona,Government,Primary,Hobsons Bay (C),144.82274,-37.86771
Devon Meadows,Government,Primary,Casey (C),145.30138,-38.16203
Upper Ferntree Gully,Government,Primary,Knox (C),145.31432,-37.8956
Eildon,Government,Primary,Murrindindi (S),145.90676,-37.23397
Bittern,Government,Primary,Mornington Peninsula (S),145.17168,-38.33986
Colbinabbin,Government,Primary,Campaspe (S),144.80166,-36.58988
Stanhope,Government,Primary,Campaspe (S),144.98802,-36.4481
Hurstbridge,Government,Primary,Nillumbik (S),145.19812,-37.6359
Coburg,Government,Primary,Merri-bek (C),144.94762,-37.74715
Elwood,Government,Primary,Port Phillip (C),144.98836,-37.8815
Mont Albert,Government,Primary,Whitehorse (C),145.10273,-37.81308
Dhurringile,Government,Primary,Greater Shepparton (C),145.23979,-36.5432
Strathewen,Government,Primary,Nillumbik (S),145.27009,-37.54758
Don Valley,Government,Primary,Yarra Ranges (S),145.58741,-37.7602
Reservoir,Government,Primary,Darebin (C),145.00677,-37.71142
Yallourn North,Government,Primary,Latrobe (C),146.36222,-38.16321
Lake Tyers Beach,Government,Primary,East Gippsland (S),148.05097,-37.85254
Girgarre,Government,Primary,Campaspe (S),144.97376,-36.39811
Gladysdale,Government,Primary,Yarra Ranges (S),145.65099,-37.82025
Mildura,Government,Primary,Mildura (RC),142.15239,-34.17973
Moonee Ponds,Government,Primary,Moonee Valley (C),144.93299,-37.76334
Yarraville,Government,Primary,Maribyrnong (C),144.87466,-37.8126
Kallista,Government,Primary,Yarra Ranges (S),145.37,-37.88509
Essendon North,Government,Primary,Moonee Valley (C),144.90319,-37.74152
Ascot Vale,Government,Primary,Moonee Valley (C),144.91112,-37.78068
Camberwell,Government,Primary,Boroondara (C),145.08447,-37.84805
Red Cliffs,Government,Primary,Mildura (RC),142.18531,-34.31157
Wattle Glen,Government,Primary,Nillumbik (S),145.18204,-37.66884
Hampton Park,Government,Primary,Casey (C),145.25289,-38.03041
Colac,Government,Primary,Colac-Otway (S),143.57975,-38.33642
St Kilda East,Government,Primary,Glen Eira (C),145.00505,-37.87461
Montmorency,Government,Primary,Banyule (C),145.1216,-37.71765
Moriac,Government,Primary,Surf Coast (S),144.17557,-38.24139
Ringwood North,Government,Primary,Maroondah (C),145.23074,-37.79313
Red Cliffs,Government,Primary,Mildura (RC),142.21427,-34.30511
Malvern East,Government,Primary,Stonnington (C),145.05611,-37.87242
Bayswater North,Government,Primary,Maroondah (C),145.29562,-37.8288
Pascoe Vale,Government,Primary,Merri-bek (C),144.93548,-37.71629
Point Cook,Government,Pri/Sec,Wyndham (C),144.72449,-37.8938
Footscray,Government,Primary,Maribyrnong (C),144.88337,-37.78775
Airly,Government,Primary,Wellington (S),147.1139,-38.02571
Glen Iris,Government,Primary,Boroondara (C),145.06261,-37.8479
Parkdale,Government,Primary,Kingston (C),145.0831,-37.99279
Hughesdale,Government,Primary,Monash (C),145.07764,-37.90584
Northcote,Government,Primary,Darebin (C),145.00556,-37.77647
Hawthorn East,Government,Primary,Boroondara (C),145.04589,-37.83926
Aspendale,Government,Primary,Kingston (C),145.09976,-38.02027
Eltham North,Government,Primary,Nillumbik (S),145.15087,-37.70011
Warrnambool,Government,Primary,Warrnambool (C),142.45615,-38.37802
Dandenong,Government,Primary,Greater Dandenong (C),145.20042,-37.98074
CROYDON NORTH,Government,Primary,Maroondah (C),145.27223,-37.7664
Essendon,Government,Primary,Moonee Valley (C),144.89477,-37.75649
Manifold Heights,Government,Primary,Greater Geelong (C),144.33292,-38.13597
Nungurner,Government,Primary,East Gippsland (S),147.88839,-37.86592
Dingley Village,Government,Primary,Kingston (C),145.1325,-37.9826
Cardross,Government,Primary,Mildura (RC),142.14504,-34.28801
Albion,Government,Primary,Brimbank (C),144.81975,-37.77808
Lemnos,Government,Primary,Greater Shepparton (C),145.46246,-36.35805
Tarwin Lower,Government,Primary,South Gippsland (S),145.86706,-38.70257
Seaford,Government,Special,Frankston (C),145.14233,-38.11943
Brunswick West,Government,Primary,Merri-bek (C),144.94352,-37.77058
Preston,Government,Primary,Darebin (C),144.99061,-37.7477
Surrey Hills,Government,Primary,Boroondara (C),145.0916,-37.81765
Caulfield South,Government,Primary,Glen Eira (C),145.0308,-37.89525
Ashburton,Government,Primary,Boroondara (C),145.08362,-37.8622
Bentleigh,Government,Primary,Glen Eira (C),145.02677,-37.92059
Seaspray,Government,Primary,Wellington (S),147.17062,-38.35649
Anglesea,Government,Primary,Surf Coast (S),144.19184,-38.39678
Briar Hill,Government,Primary,Banyule (C),145.11622,-37.70831
Zeerust,Government,Primary,Greater Shepparton (C),145.40507,-36.2772
Ormond,Government,Primary,Glen Eira (C),145.0528,-37.90805
Clayton South,Government,Primary,Kingston (C),145.11644,-37.94048
Ivanhoe East,Government,Primary,Banyule (C),145.05945,-37.77459
Cobains,Government,Primary,Wellington (S),147.13228,-38.07479
Mildura South,Government,Primary,Mildura (RC),142.12679,-34.21348
Geelong East,Government,Primary,Greater Geelong (C),144.3792,-38.16605
Brunswick West,Government,Primary,Merri-bek (C),144.94359,-37.75671
Katandra West,Government,Primary,Greater Shepparton (C),145.56071,-36.22547
Narre Warren,Government,Primary,Casey (C),145.3181,-38.0393
Sandringham,Government,Primary,Bayside (C),145.02222,-37.95667
Seaholme,Government,Primary,Hobsons Bay (C),144.83991,-37.86421
Somers,Government,Primary,Mornington Peninsula (S),145.16461,-38.39212
TRAVANCORE,Government,Special,Moonee Valley (C),144.93487,-37.7819
Upwey,Government,Primary,Yarra Ranges (S),145.3328,-37.90287
Coburg,Government,Primary,Merri-bek (C),144.95185,-37.73617
Rosanna,Government,Primary,Banyule (C),145.0629,-37.73539
Wantirna South,Government,Primary,Knox (C),145.23734,-37.87253
Strathmore,Government,Primary,Moonee Valley (C),144.917,-37.73551
Balwyn North,Government,Primary,Boroondara (C),145.07704,-37.7967
Ashburton,Government,Primary,Boroondara (C),145.07283,-37.87324
Wangaratta,Government,Primary,Wangaratta (RC),146.30442,-36.35413
Mount Beauty,Government,Primary,Alpine (S),147.17159,-36.7395
Preston,Government,Primary,Darebin (C),144.98538,-37.73011
Somers,Government,Primary,Mornington Peninsula (S),145.14575,-38.38878
Newborough,Government,Primary,Latrobe (C),146.29279,-38.18858
Traralgon,Government,Primary,Latrobe (C),146.52417,-38.18998
Shepparton,Government,Primary,Greater Shepparton (C),145.39635,-36.3668
Tootgarook,Government,Primary,Mornington Peninsula (S),144.85732,-38.36948
Moe,Government,Primary,Latrobe (C),146.26006,-38.18319
Belmont,Government,Primary,Greater Geelong (C),144.32982,-38.17401
Newport,Government,Primary,Hobsons Bay (C),144.86883,-37.84521
Shepparton,Government,Primary,Greater Shepparton (C),145.40574,-36.39009
Malvern East,Government,Primary,Stonnington (C),145.08149,-37.8807
Newborough,Government,Primary,Latrobe (C),146.29376,-38.179
Balwyn,Government,Special,Boroondara (C),145.08114,-37.80428
Northcote,Government,Special,Darebin (C),144.9874,-37.764
Hamlyn Heights,Government,Primary,Greater Geelong (C),144.33245,-38.12936
Frankston,Government,Primary,Frankston (C),145.14553,-38.14663
Selby,Government,Primary,Yarra Ranges (S),145.36752,-37.91143
Reservoir,Government,Primary,Darebin (C),145.02184,-37.71998
Bentleigh,Government,Primary,Glen Eira (C),145.04901,-37.93254
Katunga,Government,Primary,Moira (S),145.45561,-35.99856
Ballarat,Government,Primary,Ballarat (C),143.86281,-37.5401
Bandiana,Government,Primary,Wodonga (C),146.92714,-36.15296
Balwyn North,Government,Primary,Boroondara (C),145.09596,-37.80143
Warragul,Government,Primary,Baw Baw (S),145.93985,-38.14811
Horsham,Government,Primary,Horsham (RC),142.17999,-36.71742
Traralgon,Government,Primary,Latrobe (C),146.51536,-38.19927
Traralgon,Government,Primary,Latrobe (C),146.55149,-38.20155
Ringwood East,Government,Primary,Maroondah (C),145.25295,-37.81724
Pascoe Vale South,Government,Primary,Merri-bek (C),144.93562,-37.74572
Lalor,Government,Primary,Whittlesea (C),145.02539,-37.67008
Reservoir,Government,Primary,Darebin (C),144.99023,-37.72214
Bentleigh East,Government,Primary,Glen Eira (C),145.07363,-37.92008
Blackburn North,Government,Primary,Whitehorse (C),145.15251,-37.80757
Oakleigh South,Government,Primary,Monash (C),145.10236,-37.91308
Box Hill North,Government,Primary,Whitehorse (C),145.12331,-37.80079
Ferntree Gully,Government,Primary,Knox (C),145.29942,-37.87479
Ararat,Government,Primary,Ararat (RC),142.921,-37.27736
Oak Park,Government,Primary,Merri-bek (C),144.91504,-37.71553
Dandenong,Government,Primary,Greater Dandenong (C),145.21447,-37.97664
Bairnsdale,Government,Primary,East Gippsland (S),147.6081,-37.82454
Bendigo,Government,Special,Greater Bendigo (C),144.27865,-36.73783
Noble Park,Government,Primary,Greater Dandenong (C),145.1799,-37.95444
Pascoe Vale,Government,Primary,Merri-bek (C),144.94848,-37.72126
Balwyn North,Government,Primary,Boroondara (C),145.07865,-37.78252
Belmont,Government,Primary,Greater Geelong (C),144.34199,-38.17944
Moe,Government,Primary,Latrobe (C),146.24672,-38.18973
St Albans,Government,Primary,Brimbank (C),144.81109,-37.74217
Shepparton,Government,Primary,Greater Shepparton (C),145.41297,-36.36654
Swan Hill,Government,Primary,Swan Hill (RC),143.54607,-35.33179
Sunshine,Government,Primary,Brimbank (C),144.81816,-37.79222
Sunshine North,Government,Primary,Brimbank (C),144.83719,-37.77201
Rosanna,Government,Primary,Banyule (C),145.07794,-37.74361
Portland,Government,Primary,Glenelg (S),141.61062,-38.36527
Rosanna,Government,Primary,Banyule (C),145.07412,-37.73512
Cheltenham,Government,Primary,Kingston (C),145.06835,-37.96526
Cranbourne South,Government,Primary,Casey (C),145.24506,-38.14794
Wangaratta,Government,Primary,Wangaratta (RC),146.31718,-36.37256
Lake Gardens,Government,Special,Ballarat (C),143.8187,-37.55244
East Preston,Government,Primary,Darebin (C),145.02946,-37.73305
Orbost,Government,Primary,East Gippsland (S),148.466,-37.69779
Bell Park,Government,Special,Greater Geelong (C),144.3377,-38.11424
Craigieburn,Government,Primary,Hume (C),144.93355,-37.58264
Warrnambool,Government,Primary,Warrnambool (C),142.49958,-38.38959
Colac,Government,Primary,Colac-Otway (S),143.57203,-38.34363
Hamilton,Government,Primary,Southern Grampians (S),142.0344,-37.74662
Bentleigh East,Government,Primary,Glen Eira (C),145.05717,-37.91461
Frankston,Government,Primary,Frankston (C),145.12697,-38.16049
Yarraville,Government,Primary,Maribyrnong (C),144.87443,-37.82104
Braybrook,Government,Special,Maribyrnong (C),144.85541,-37.77964
Bonbeach,Government,Primary,Kingston (C),145.12564,-38.06649
Springvale,Government,Primary,Greater Dandenong (C),145.15815,-37.96265
Beaumaris,Government,Primary,Bayside (C),145.03661,-37.97424
Hamlyn Heights,Government,Primary,Greater Geelong (C),144.3271,-38.11776
Noble Park,Government,Primary,Greater Dandenong (C),145.19153,-37.97029
Nunawading,Government,Primary,Whitehorse (C),145.18009,-37.82859
Glenroy,Government,Primary,Merri-bek (C),144.90829,-37.70496
Dandenong,Government,Primary,Greater Dandenong (C),145.21143,-37.99895
St Albans,Government,Primary,Brimbank (C),144.80201,-37.73174
Avondale Heights,Government,Primary,Moonee Valley (C),144.86085,-37.76784
Doncaster East,Government,Primary,Manningham (C),145.15984,-37.79624
Wodonga,Government,Primary,Wodonga (C),146.87671,-36.12241
Frankston,Government,Primary,Frankston (C),145.14717,-38.16181
Box Hill North,Government,Primary,Whitehorse (C),145.13525,-37.80368
Heathmont,Government,Primary,Maroondah (C),145.25769,-37.83035
Strathmore,Government,Primary,Moonee Valley (C),144.91598,-37.72486
Oakleigh South,Government,Primary,Monash (C),145.0947,-37.92221
Thomastown,Government,Primary,Whittlesea (C),145.0249,-37.68033
Mount Waverley,Government,Primary,Monash (C),145.11127,-37.88892
Bentleigh East,Government,Primary,Glen Eira (C),145.06942,-37.93451
Watsonia,Government,Primary,Banyule (C),145.08692,-37.70703
Parkdale,Government,Primary,Kingston (C),145.08824,-37.98711
Mitcham,Government,Primary,Whitehorse (C),145.206,-37.81619
Kingsbury,Government,Primary,Darebin (C),145.0372,-37.71602
Ardeer,Government,Primary,Brimbank (C),144.80049,-37.78107
Clayton South,Government,Primary,Kingston (C),145.13574,-37.94219
Tullamarine,Government,Primary,Hume (C),144.87957,-37.7022
Sale,Government,Primary,Wellington (S),147.08383,-38.0957
Park Orchards,Government,Primary,Manningham (C),145.21592,-37.77952
Sunshine North,Government,Primary,Brimbank (C),144.82304,-37.76212
Blackburn,Government,Primary,Whitehorse (C),145.1661,-37.8276
Blackburn,Government,Primary,Whitehorse (C),145.13921,-37.8271
Bell Post Hill,Government,Primary,Greater Geelong (C),144.32646,-38.10121
Donvale,Government,Special,Manningham (C),145.17804,-37.80034
Highton,Government,Primary,Greater Geelong (C),144.31977,-38.17959
Mount Waverley,Government,Primary,Monash (C),145.14234,-37.89012
Broadmeadows,Government,Primary,Hume (C),144.92849,-37.68019
Fawkner,Government,Primary,Merri-bek (C),144.96722,-37.69576
Keilor East,Government,Primary,Moonee Valley (C),144.86649,-37.73752
Croydon,Government,Primary,Maroondah (C),145.26424,-37.79379
Forest Hill,Government,Primary,Whitehorse (C),145.17718,-37.84384
Lara,Government,Primary,Greater Geelong (C),144.41054,-38.01592
Ringwood,Government,Primary,Maroondah (C),145.23944,-37.79774
Cranbourne,Government,Primary,Casey (C),145.27775,-38.10406
Viewbank,Government,Primary,Banyule (C),145.08999,-37.73473
Greensborough,Government,Primary,Banyule (C),145.11865,-37.69228
Upwey,Government,Primary,Yarra Ranges (S),145.32684,-37.91314
Simpson,Government,Primary,Corangamite (S),143.20788,-38.49862
Eltham,Government,Primary,Nillumbik (S),145.15486,-37.71143
Seaford,Government,Primary,Frankston (C),145.14693,-38.10984
Mount Waverley,Government,Primary,Monash (C),145.11564,-37.86299
Ferntree Gully,Government,Primary,Knox (C),145.26971,-37.88569
Ferntree Gully,Government,Primary,Knox (C),145.2648,-37.8696
Boronia,Government,Primary,Knox (C),145.27848,-37.85856
Moorabbin,Government,Primary,Kingston (C),145.05697,-37.94118
Ringwood North,Government,Primary,Maroondah (C),145.21721,-37.80423
Glenroy,Government,Special,Merri-bek (C),144.92053,-37.69936
Croydon,Government,Primary,Maroondah (C),145.29616,-37.79894
Dandenong,Government,Special,Greater Dandenong (C),145.2081,-37.96986
Newtown,Government,Primary,Greater Geelong (C),144.32686,-38.1538
Frankston,Government,Primary,Frankston (C),145.15228,-38.13792
Glen Waverley,Government,Primary,Monash (C),145.17881,-37.88348
Mount Waverley,Government,Primary,Monash (C),145.1433,-37.87909
Montmorency,Government,Primary,Banyule (C),145.12966,-37.72493
Altona North,Government,Primary,Hobsons Bay (C),144.84917,-37.83698
Burwood East,Government,Primary,Whitehorse (C),145.16328,-37.84675
Stawell,Government,Primary,Northern Grampians (S),142.77129,-37.06576
Greensborough,Government,Primary,Banyule (C),145.10073,-37.7153
Wendouree,Government,Primary,Ballarat (C),143.83543,-37.52319
Mooroolbark,Government,Primary,Yarra Ranges (S),145.32724,-37.7968
Frankston North,Government,Primary,Frankston (C),145.1574,-38.12562
Shepparton,Government,Primary,Greater Shepparton (C),145.4059,-36.3985
Bundoora,Government,Primary,Banyule (C),145.06299,-37.70734
St Albans,Government,Primary,Brimbank (C),144.80307,-37.75489
St Albans,Government,Primary,Brimbank (C),144.81037,-37.74865
Kerang,Government,Primary,Gannawarra (S),143.92716,-35.74123
Broadmeadows,Government,Special,Hume (C),144.92701,-37.6724
Mentone,Government,Primary,Kingston (C),145.0828,-37.98001
Donvale,Government,Primary,Manningham (C),145.17378,-37.80041
Bell Park,Government,Primary,Greater Geelong (C),144.33602,-38.10589
Boronia,Government,Primary,Knox (C),145.29648,-37.84457
Glen Waverley,Government,Special,Monash (C),145.16175,-37.88836
Churchill,Government,Primary,Latrobe (C),146.41542,-38.3111
Highton,Government,Primary,Greater Geelong (C),144.31612,-38.16627
Bayswater,Government,Primary,Knox (C),145.26135,-37.8549
Seaford,Government,Primary,Frankston (C),145.13361,-38.09016
Morwell,Government,Primary,Latrobe (C),146.42446,-38.22793
Thomastown,Government,Primary,Whittlesea (C),145.03554,-37.67658
St Albans,Government,Special,Brimbank (C),144.81418,-37.75602
Carlton,Government,Primary,Melbourne (C),144.97045,-37.7956
